av_alive,av_w0,av_alph_w,av_lambda,av_thr1,av_thr2,av_t_thr,av_beta,sd_w0,sd_alph_w,sd_lambda,sd_thr1,sd_thr2,sd_t_thr,sd_beta
0.8435,8.91417181229591,0.931105471372604,0,0.914091619506478,0,1000,14.0472869722843,0.0791258519049758,0.0522209810521988,0,0.0266836842085531,0,0,0.0345448025075443
0.83675,8.83786484003067,0.962006029427051,0,0.894406417831779,0,1000,14.0277456264496,0.0751917397520711,0.031106152404251,0,0.0351646728209512,0,0,0.0405423860799891
0.8575,8.80641321468353,0.957656788662076,0,0.896739535018802,0,1000,14.0704069423676,0.0526252941046709,0.0391602003749754,0,0.0385535116912621,0,0,0.0369381907827322
0.8365,8.80062818455696,0.96293011829257,0,0.911855498120189,0,1000,14.0858878602982,0.0710433222586418,0.025662232553929,0,0.0373295659180505,0,0,0.0400851104978194
0.8465,8.79954990625381,0.967797379136086,0,0.914606133729219,0,1000,14.0681833839417,0.0620421645897914,0.0276616479239113,0,0.0417495549075559,0,0,0.037891978360373
0.847,8.7669610927105,0.96033395947516,0,0.931226234301925,0,1000,14.0506590321064,0.0516275416108299,0.0366052230101469,0,0.0320205527585744,0,0,0.0872655825647954
0.846,8.78942319273949,0.957966649100184,0,0.930951593890786,0,1000,14.0043275859356,0.0530241340405502,0.0351367968936538,0,0.0431936874567292,0,0,0.0429578306691568
0.846,8.77575809597969,0.924817022413015,0,0.929685462161899,0,1000,13.9881363966465,0.0339861074928966,0.0568216880127065,0,0.0430538663556769,0,0,0.0460132113667913
0.84375,8.76846770906448,0.945070132181048,0,0.921462578982115,0,1000,13.9394168338776,0.045353744931932,0.0363476529569143,0,0.042507539078806,0,0,0.0440857780851134
0.85275,8.77007130384445,0.944431016981602,0,0.903072234287858,0,1000,13.993896992445,0.0412689650537387,0.0345348512899953,0,0.0512826993749216,0,0,0.0671715829904691
0.852,8.75984732913971,0.934599745884538,0,0.914875381350517,0,1000,14.0051741034985,0.049373681060109,0.0384068797624652,0,0.0408455241016026,0,0,0.0544483895302481
0.844,8.71775030851364,0.924085397943854,0,0.906018675908446,0,1000,14.0248872518539,0.031001397085788,0.0346126619063639,0,0.0442439503849538,0,0,0.0634714392569218
0.84725,8.70008541345596,0.920643136397004,0,0.877144244372845,0,1000,14.0195761749744,0.0352363615717793,0.0456235628180837,0,0.0475007163364843,0,0,0.0614984128288555
0.8475,8.73330434083939,0.899402237102389,0,0.912261859104037,0,1000,13.9697360568047,0.0639078798474154,0.0448167133038142,0,0.0500411602187892,0,0,0.0829267194825471
0.842,8.75503530502319,0.865184589877725,0,0.923993150517344,0,1000,13.931439438343,0.0494512059839721,0.0643910935708643,0,0.0342134134471824,0,0,0.0786747089543242
0.8535,8.77277067089081,0.904423223853111,0,0.916420546397567,0,1000,13.9480329034328,0.0373709420040435,0.05392875918592,0,0.0382318380821896,0,0,0.0565320404097115
0.83625,8.7540732448101,0.914081331551075,0,0.906961106389761,0,1000,13.9690634148121,0.0433722550066035,0.0601732514856861,0,0.0614146943600416,0,0,0.0554546522513057
0.846,8.74472091794014,0.918938576668501,0,0.926173977479339,0,1000,13.9802026171684,0.0573641216618103,0.0389675321390534,0,0.0408182010318436,0,0,0.0464687556626475
0.846,8.72331943106651,0.94099095903337,0,0.902557156935334,0,1000,13.9611890642643,0.0678616630859273,0.0380259855765091,0,0.0439423412762849,0,0,0.0434703585753205
0.8485,8.6409187836647,0.927223578050733,0,0.901489934697747,0,1000,13.9407427222729,0.0467725101197539,0.0575050423558221,0,0.0402241441978415,0,0,0.064935400975545
0.85325,8.697999812603,0.964315650254488,0,0.905590275630355,0,1000,13.9925608952045,0.0559353543783112,0.0278626376192183,0,0.0368791866837603,0,0,0.049168556257772
0.8465,8.63360604548454,0.956546355172992,0,0.917895242348313,0,1000,14.0120259289742,0.0352776595433606,0.0214247967262558,0,0.0413354520332499,0,0,0.0327602297932709
0.842,8.64539872932434,0.954955762460828,0,0.931487903267145,0,1000,14.0624422650337,0.0477236116072973,0.0281589618518354,0,0.0347695190828505,0,0,0.052646898156958
0.8495,8.62883875608444,0.958837706997991,0,0.94700900451839,0,1000,14.1183357892036,0.0479128261622089,0.0240257089493031,0,0.0233066647653027,0,0,0.0501303176432099
0.8375,8.68298725914955,0.95319898468256,0,0.91628282725811,0,1000,14.1338053927422,0.0541368970837747,0.0301468846203994,0,0.0439290116195826,0,0,0.0449980641766419
0.839,8.64237170171738,0.961218927934766,0,0.935002695590258,0,1000,14.1255846619606,0.0623371139879055,0.0200165978262313,0,0.0361432282108461,0,0,0.0779567658660608
